Resident_ID,USMLE_Step_1,USMLE_Step_2,USMLE_Step_3,Age,Gender,VSITE_Score_1,VSITE_Score_2,VSITE_Score_3,VSITE_Score_4,VSITE_Score_5,VQE_Pass
25,Pass,185,225,27,Female,334,353.0,370.0,389.0,404.0,1.0
948,Pass,185,215,31,Female,344,362.0,367.0,373.0,379.0,1.0
1153,Pass,186,243,33,Female,338,349.0,365.0,378.0,,
1756,Pass,200,219,30,Female,338,,,,,
885,Pass,189,244,32,Female,339,354.0,355.0,371.0,,
1018,Pass,188,266,31,Female,342,347.0,349.0,369.0,372.0,1.0
150,Pass,205,239,33,Female,330,341.0,343.0,359.0,363.0,0.0
557,Pass,190,220,32,Male,333,,,,,
1482,Pass,191,242,32,Male,348,,,,,
1142,Pass,198,243,34,Female,338,345.0,,,,
1031,Pass,193,216,26,Female,330,318.0,327.0,302.0,315.0,0.0
1406,Fail,192,235,28,Male,339,,,,,
67,Pass,193,238,33,Female,339,341.0,,,,
1779,Pass,199,235,32,Female,334,313.0,330.0,315.0,,
1292,Pass,193,242,28,Male,336,341.0,353.0,356.0,363.0,0.0
1522,Pass,193,225,27,Female,348,368.0,369.0,,,
882,Pass,198,256,35,Female,337,,,,,
1944,Pass,194,212,29,Female,330,316.0,317.0,325.0,,
84,Pass,196,206,35,Male,335,355.0,363.0,378.0,397.0,1.0
596,Pass,196,237,31,Female,348,366.0,370.0,379.0,,
881,Pass,196,250,28,Female,342,347.0,329.0,336.0,338.0,0.0
185,Pass,197,228,31,Female,350,,,,,
518,Fail,197,240,33,Male,336,,,,,
391,Fail,202,243,28,Male,335,,,,,
608,Fail,197,242,26,Male,337,346.0,356.0,358.0,362.0,0.0
1747,Pass,197,229,29,Female,336,346.0,353.0,356.0,375.0,0.0
1520,Pass,197,212,27,Female,336,352.0,353.0,366.0,369.0,0.0
119,Pass,192,228,33,Male,336,355.0,359.0,361.0,366.0,0.0
1046,Pass,199,251,33,Male,332,,,,,
716,Pass,198,234,34,Male,345,346.0,350.0,360.0,367.0,1.0
1724,Pass,203,226,35,Male,342,,,,,
892,Pass,198,217,33,Male,342,350.0,364.0,369.0,387.0,1.0
1089,Pass,201,236,29,Male,340,,,,,
1283,Pass,198,250,27,Male,333,346.0,360.0,,,
1358,Pass,198,221,30,Female,345,363.0,377.0,,,
1478,Pass,198,235,30,Female,345,362.0,380.0,,,
1714,Pass,198,241,26,Male,343,360.0,380.0,387.0,401.0,1.0
873,Fail,199,216,28,Male,345,357.0,347.0,366.0,371.0,0.0
897,Pass,199,210,30,Male,335,348.0,355.0,360.0,369.0,1.0
1658,Pass,199,234,30,Male,332,347.0,,,,
1993,Pass,200,220,28,Male,338,346.0,321.0,334.0,343.0,0.0
177,Pass,206,235,29,Female,334,337.0,340.0,331.0,,
1986,Pass,199,226,31,Female,350,358.0,367.0,369.0,386.0,1.0
1887,Fail,197,224,30,Female,337,339.0,357.0,372.0,391.0,0.0
1997,Pass,199,252,35,Female,340,360.0,,,,
1514,Fail,204,239,26,Male,331,341.0,358.0,336.0,,
233,Pass,200,226,34,Male,336,352.0,366.0,,,
985,Pass,205,243,31,Female,340,343.0,331.0,335.0,347.0,0.0
1198,Pass,202,230,34,Female,338,352.0,360.0,369.0,380.0,0.0
1623,Pass,200,221,33,Male,336,340.0,356.0,372.0,379.0,1.0
1733,Pass,200,250,34,Male,331,347.0,356.0,360.0,365.0,1.0
1232,Fail,200,243,35,Male,346,356.0,364.0,365.0,370.0,0.0
1808,Pass,200,230,30,Female,348,366.0,368.0,374.0,376.0,1.0
1001,Pass,201,229,28,Male,333,349.0,350.0,330.0,337.0,0.0
490,Pass,201,235,27,Female,330,343.0,358.0,363.0,372.0,1.0
1425,Fail,203,232,30,Female,335,342.0,359.0,373.0,,
820,Pass,201,231,29,Female,342,354.0,362.0,348.0,360.0,0.0
971,Pass,201,258,32,Female,331,342.0,354.0,369.0,,
1968,Pass,202,253,35,Male,338,344.0,355.0,334.0,341.0,0.0
259,Pass,191,234,27,Female,331,,,,,
1127,Pass,201,231,35,Male,339,344.0,351.0,,,
1894,Pass,201,212,35,Male,346,357.0,360.0,372.0,,
18,Pass,200,245,26,Female,338,345.0,333.0,353.0,,
229,Fail,202,239,29,Male,335,337.0,347.0,350.0,352.0,1.0
676,Fail,201,221,29,Female,346,354.0,367.0,376.0,,
552,Pass,202,248,33,Male,340,345.0,364.0,369.0,383.0,1.0
601,Pass,202,232,29,Female,345,,,,,
1025,Pass,202,269,29,Male,335,339.0,348.0,368.0,373.0,1.0
1110,Pass,202,236,33,Male,333,335.0,351.0,363.0,,
1196,Pass,202,229,28,Male,339,351.0,369.0,382.0,397.0,1.0
1775,Fail,203,240,26,Male,346,354.0,370.0,379.0,387.0,0.0
1250,Fail,202,241,27,Male,339,353.0,370.0,380.0,,
1555,Pass,202,234,32,Female,336,340.0,,,,
147,Fail,206,241,26,Female,343,361.0,371.0,,,
1166,Pass,204,250,34,Female,333,348.0,360.0,340.0,358.0,0.0
345,Pass,198,225,30,Male,337,346.0,336.0,355.0,,
40,Pass,203,225,35,Female,334,351.0,357.0,346.0,363.0,0.0
267,Pass,203,239,35,Female,345,332.0,341.0,360.0,375.0,0.0
798,Pass,203,206,28,Male,341,353.0,365.0,375.0,383.0,1.0
806,Pass,203,211,26,Female,335,,,,,
969,Pass,203,231,34,Male,349,360.0,,,,
1091,Pass,203,208,30,Male,335,353.0,367.0,380.0,387.0,1.0
1363,Pass,203,236,28,Female,343,347.0,354.0,356.0,359.0,1.0
1563,Fail,197,226,35,Male,347,,,,,
5,Pass,202,214,34,Male,343,,,,,
831,Fail,204,248,35,Female,333,344.0,363.0,354.0,365.0,0.0
1883,Fail,202,245,31,Male,349,360.0,371.0,,,
1777,Pass,203,242,27,Male,348,349.0,363.0,373.0,,
1816,Fail,203,245,30,Male,344,364.0,340.0,348.0,361.0,0.0
281,Pass,204,266,26,Male,337,355.0,,,,
368,Pass,204,235,34,Male,344,356.0,365.0,371.0,386.0,1.0
1924,Pass,206,236,30,Male,350,,,,,
1295,Pass,212,255,28,Female,360,363.0,345.0,350.0,354.0,0.0
1133,Pass,204,241,30,Female,331,349.0,365.0,355.0,,
1730,Pass,195,234,29,Female,347,342.0,354.0,357.0,,
1723,Pass,205,223,32,Male,348,362.0,381.0,388.0,,
1362,Pass,205,237,30,Male,330,347.0,365.0,375.0,,
1212,Pass,212,219,29,Female,355,,,,,
1083,Pass,200,236,26,Female,342,352.0,356.0,375.0,,
